Aula,Semana,Data,Dia,Tema,Objetivo,Conteúdo Detalhado,Atividades,Material Prévio,Entregáveis,Referência
Aula 0,0,,Pré-Semestre,Nivelamento e Setup de Ambiente,"Preparar os alunos com conhecimentos básicos e ferramentas necessárias para a disciplina. Nivelar conhecimentos de Python, Git, e APIs.","Setup de ambiente de desenvolvimento (Python, IDEs, Git, GitHub). Introdução prática a APIs de LLMs (OpenAI, Anthropic). Revisão de conceitos de programação orientada a objetos e testes unitários. Configuração de contas e créditos para ferramentas de IA.","Exercício hands-on: Hello World com um LLM via API. Configuração de ambiente em grupo com suporte de monitores/professores. Quiz de diagnóstico sobre conhecimentos prévios.","Instalar Python 3.10+, Git, VS Code ou IDE de preferência. Criar conta no GitHub. Assistir vídeo introdutório sobre LLMs (link fornecido).","Ambiente configurado e funcional. Comprovação de execução do exercício Hello World.",Tutorial e documentação fornecidos
Aula 1,1,,Segunda,Introdução à Engenharia de Software Assistida por IA,"Apresentar o escopo, objetivos e impacto da IA no ciclo de vida do desenvolvimento de software (SDLC).","Visão holística do impacto da IA no SDLC. Introdução aos conceitos fundamentais de IA, Machine Learning e Deep Learning. Tipos de IA aplicáveis à ES (supervised, unsupervised, reinforcement learning). Papel dos LLMs na modernização da engenharia de software. Apresentação do plano da disciplina, projetos e sistema de avaliação. Introdução à metodologia Sinfonia como framework do projeto final.","Debate: expectativas dos alunos em relação à disciplina e aos projetos. Discussão em grupo: ""Como a IA pode transformar o trabalho de um engenheiro de software?"" Apresentação do Código de Conduta para Uso Ético de IA. Overview da metodologia Sinfonia e seus 4 movimentos.","Ler: Seção 1 do artigo ""The Impact of AI on Software Engineering"" (Silvio Meira). Assistir: Vídeo introdutório sobre o estado da arte em AI for SE. Ler: Capítulo 1 do livro Sinfonia.",Assinatura do Código de Conduta. Reflexão individual (1 página) sobre expectativas.,"Meira (2024) - Seção 1; Fan et al. (2023); Russell & Norvig (2020) - Cap. 1; Garcia & Medeiros (2025) - Sinfonia Cap. 1-2"
Aula 2,1,,Quarta,Modelos de Linguagem e IA Generativa na ES,"Compreender a base teórica de LLMs (Large Language Models) e seu papel específico na Engenharia de Software.","Fundamentos de LLMs: arquitetura Transformer, pré-treinamento e fine-tuning. Como LLMs aprendem: tokenização, embeddings, attention mechanism. Capacidades e limitações dos LLMs: geração de texto/código, compreensão, raciocínio. IA Generativa em contextos de engenharia: code completion, documentation, test generation. Panorama de modelos: GPT-4, Claude, Gemini, Codex, CodeLlama.","Exercício prático: Interagir com diferentes LLMs (ChatGPT, Claude) e comparar respostas para uma mesma tarefa de programação. Discussão: impactos dos LLMs no mercado de trabalho em TI - substituição vs. augmentation.","Ler: Wong et al. (2023) sobre NLG e NLU para código. Explorar: Playground de APIs (OpenAI, Anthropic).","Relatório comparativo (2-3 páginas) sobre diferentes LLMs testados, incluindo pontos fortes e limitações.","Fan et al. (2023) - Seção sobre LLMs; Wong et al. (2023); Hou et al. (2024)"
Aula 3,2,,Segunda,Coleta de Requisitos e Análise Assistida por IA,"Aprender a usar IA, especialmente NLP, para analisar e coletar requisitos de software de forma eficiente.","Uso de NLP para análise de documentos de requisitos: extração de features, identificação de stakeholders, detecção de inconsistências e ambiguidades. Técnicas de análise semântica para compreender relações entre requisitos. Automação da elicitação de requisitos através de chatbots e assistentes virtuais. Ferramentas: BERT, GPT para análise de texto de requisitos.","Exercício prático: Usar uma ferramenta de IA (ex: GPT-4 via API ou interface) para analisar um documento de requisitos de um sistema real e identificar inconsistências, features e prioridades. Compartilhamento de resultados em grupo: o que a IA encontrou? Quais foram os erros?","Ler: Zhao et al. (2021) sobre NLP para Requirements Engineering. Revisar: documento de requisitos de exemplo (fornecido).","Análise de requisitos assistida por IA: documento com features extraídas, inconsistências identificadas, e avaliação crítica da qualidade da análise da IA.","Zhao et al. (2021); Luitel et al. (2023); Meira (2024) - Seção 2.1"
Aula 4,2,,Quarta,Priorização e Design de Cenários com IA,"Explorar como a IA pode aprimorar a priorização de requisitos e o design de cenários de uso (user stories, personas).","Aplicação de IA na priorização de requisitos baseada em valor de negócio, viabilidade técnica, e necessidades do cliente (técnicas de ML para ranking). Uso de IA para gerar cenários de uso detalhados e realistas a partir de requisitos. Criação de personas assistida por IA: análise de dados de usuários, comportamentos e demografia. Ferramentas: PersonaGen e outras. Conexão com Persona Model Canvas da Sinfonia.","Atividade em grupo: Gerar personas para um sistema real (e-commerce, saúde, educação) usando uma ferramenta de IA. Cada grupo apresenta suas personas e discute a qualidade e realismo. Comparação com personas criadas manualmente. Introdução ao Persona Model Canvas.","Ler: Salminen et al. (2022) sobre desenvolvimento de personas. Explorar: ferramenta PersonaGen (se disponível) ou GPT-4 para geração de personas. Ler: Sinfonia - Seção sobre Persona Model Canvas.","Mini-relatório: 3-4 personas geradas, incluindo justificativa e análise crítica da contribuição da IA.","Salminen et al. (2022); Zhang et al. (2023); Meira (2024) - Seções 2.2, 2.3, 2.4; Garcia & Medeiros (2025) - Sinfonia Cap. 4"
Aula 5,3,,Segunda,Arquitetura de Software e Design Assistido por IA,"Entender a aplicação da IA na concepção, análise e otimização de arquiteturas de software.","Análise de ferramentas de IA para design de arquitetura: geração de diagramas, recomendações de padrões arquiteturais (MVC, microservices, event-driven). Como LLMs podem justificar escolhas arquitetônicas e facilitar comunicação entre stakeholders técnicos e não-técnicos. Avaliação de decisões arquitetônicas com IA: trade-offs, quality attributes (performance, scalability, security). Introdução ao C4 Model.","Estudo de caso: Análise de uma arquitetura de software existente para identificar pontos de melhoria com o auxílio de IA (refatoração arquitetural, identificação de acoplamento excessivo). Discussão em grupo sobre as recomendações da IA. Exercício: criar um C4 Model (Level 1 - Context) para um sistema simples.","Ler: Belzner (2023) sobre AI-assisted architecture. Revisar: conceitos de arquitetura de software (padrões, estilos). Explorar: C4 Model documentation.","Análise arquitetural: documento com pontos de melhoria identificados pela IA e avaliação crítica das sugestões. C4 Model (Level 1) do sistema analisado.","Belzner (2023); Venters et al. (2018); Meira (2024) - Seção 3.1; C4 Model documentation"
Aula 6,3,,Quarta,Otimização de Arquitetura e Refatoração com IA,"Discutir o uso de IA para otimizar arquiteturas existentes e refatorar código em larga escala.","Estratégias de otimização de arquitetura com IA: identificação de gargalos, sugestões de paralelização, otimização de consultas. Refatoração de código assistida por IA: identificação de code smells, sugestões de padrões de refatoração, melhoria de modularidade e coesão. Ferramentas: SonarQube + AI, refactoring tools baseados em LLMs.","Exercício de refatoração: Usar uma ferramenta de IA (GitHub Copilot, Claude Code, ou script customizado) para refatorar um trecho de código legado (fornecido). Avaliar as mudanças propostas: mantém funcionalidade? Melhora legibilidade? Apresentação de resultados: antes e depois.","Ler: Artigos sobre code refactoring com IA. Preparar: ambiente com ferramenta de refatoração (GitHub Copilot ou similar).","Código refatorado + relatório de análise: comparação antes/depois, métricas de qualidade (complexidade ciclomática, acoplamento), reflexão sobre limitações da IA.","Hakimi et al. (2023); Vijayvergiya et al. (2024); Meira (2024) - Seção 3.2"
Aula 7,4,,Segunda,Checkpoint Mini-Projeto 1: Requirements & Design com IA,"Aplicar os conceitos aprendidos em um mini-projeto integrando IA em Requirements e Design.","Apresentação dos mini-projetos de cada equipe (5-10 min por equipe). Cada equipe demonstra uma aplicação prática de IA em Requirements gathering/analysis ou Software Design/Architecture. Feedback do professor e dos colegas (peer review estruturado). Discussão sobre desafios enfrentados e lições aprendidas.","Apresentações relâmpago (lightning talks) de 7-10 minutos. Sessão de Q&A após cada apresentação. Peer review: cada equipe avalia outra usando rubrica fornecida.","Finalizar Mini-Projeto 1: documentação, código (se aplicável), slides de apresentação.","Slides de apresentação. Código/protótipo funcional. Documento de reflexão (1-2 páginas): o que funcionou, o que não funcionou, lições aprendidas.","Material das Aulas 1-6; SWEBOK"
Aula 8,4,,Quarta,Desenvolvimento de Código e Práticas Assistidas por IA,"Capacitar os alunos a usar ferramentas de IA para assistência direta à codificação (code completion, generation, explanation).","Ferramentas de IA para assistência à codificação: GitHub Copilot, Claude Code, Cursor AI, Aider. Como funcionam: modelos de code completion, context awareness. Técnicas básicas de prompt engineering para geração de código eficaz. Benefícios: aumento de produtividade, redução de erros boilerplate. Limitações: código incorreto, dependências de contexto, questões de licenciamento.","Exercício prático hands-on: Usar GitHub Copilot ou Claude Code para resolver um problema de programação (algoritmo, estrutura de dados). Comparar a experiência com codificação manual. Discussão: quando confiar na IA? Como validar código gerado?","Configurar GitHub Copilot ou Claude Code. Ler: Poldrack et al. (2024) sobre AI-assisted coding. Assistir: Tutorial sobre prompt engineering básico para code generation.","Código desenvolvido com assistência de IA + relatório de experiência: tempo economizado, qualidade do código, número de sugestões aceitas vs. rejeitadas.","Poldrack et al. (2024); Wong et al. (2023); Meira (2024) - Seção 4.1"
Aula 9,5,,Segunda,Testes de Software e Otimização de Código com IA,"Explorar o uso da IA para automação de testes, geração de test cases e otimização de código.","Geração automática de casos de teste com IA: unit tests, integration tests, edge cases. Como LLMs podem identificar cenários de teste que desenvolvedores podem negligenciar. Automação do processo de teste: frameworks de teste + IA, continuous testing. Otimização de código: identificação de gargalos de performance, sugestões de melhoria algorítmica. Ferramentas: AI-powered testing tools (ex: Diffblue, Mabl). Conexão com Canvas de Testes e Validação da Sinfonia.","Exercício: Usar uma ferramenta de teste automatizado com IA para gerar casos de teste para uma função de software (fornecida). Avaliar a cobertura de testes e a qualidade dos test cases gerados. Discussão: a IA pode substituir QA engineers?","Ler: Wang et al. (2024) sobre LLMs para software testing. Revisar: conceitos de testes de software (white-box, black-box, coverage). Ler: Sinfonia - Canvas de Testes e Validação.","Test suite gerada por IA + análise de cobertura e qualidade. Relatório: pontos fortes e fracos dos testes gerados, casos que a IA falhou em cobrir.","Wang et al. (2024); Hourani et al. (2019); Meira (2024) - Seção 4.1; Garcia & Medeiros (2025) - Sinfonia Cap. 6"
